channel,process,systematic,bin,sum_w,sum_ww
controlregion,single_top_tW,nominal,9,188.39998175756574,14.493488414149084
controlregion,single_top_tW,nominal,10,155.08957256972337,11.930940238025542
controlregion,single_top_tW,nominal,11,133.78014221168104,10.291619580320644
controlregion,single_top_tW,nominal,12,107.31644530494252,8.255784539705173
controlregion,single_top_tW,nominal,13,84.2376398630194,6.480347004284707
controlregion,single_top_tW,nominal,14,67.62089994483475,5.20203197878197
controlregion,single_top_tW,nominal,15,61.15883442109627,4.704909468864239
controlregion,single_top_tW,nominal,16,47.696197913307785,3.6692375732022997
controlregion,single_top_tW,nominal,17,42.38807266166547,3.260886940055592
controlregion,single_top_tW,nominal,18,35.84907778645392,2.7578463050197928
controlregion,single_top_tW,nominal,19,27.23299042146928,2.095016291796152
controlregion,single_top_tW,nominal,20,0.0,0.0
controlregion,single_top_t_chan,jesDown,0,2.222581045213512,0.01178965752396751
controlregion,single_top_t_chan,jesDown,1,12.449636546816498,0.06603896469869153
controlregion,single_top_t_chan,jesDown,2,29.620268631198687,0.15712040003301808
controlregion,single_top_t_chan,jesDown,3,49.87280903841871,0.26454978529914686
controlregion,single_top_t_chan,jesDown,4,65.16034739714267,0.3456423699866752
controlregion,single_top_t_chan,jesDown,5,72.66619985293532,0.38545708453658933
controlregion,single_top_t_chan,jesDown,6,74.98426170677375,0.3977532189947607
controlregion,single_top_t_chan,jesDown,7,70.87858693590202,0.3759747108239949
controlregion,single_top_t_chan,jesDown,8,65.79688612130883,0.34901888288136756
controlregion,single_top_t_chan,jesDown,9,58.66765241064783,0.31120193846081307
controlregion,single_top_t_chan,jesDown,10,52.04764967931976,0.27608620435601244
controlregion,single_top_t_chan,jesDown,11,45.576172650297124,0.2417583232599734
controlregion,single_top_t_chan,jesDown,12,40.176202473620855,0.21311423886999983
controlregion,single_top_t_chan,jesDown,13,35.64616855330501,0.1890847221027725
controlregion,single_top_t_chan,jesDown,14,30.797865270906087,0.16336694888819897
controlregion,single_top_t_chan,jesDown,15,27.747783884276565,0.1471878246011314
controlregion,single_top_t_chan,jesDown,16,23.992205411696215,0.12726639852244642
controlregion,single_top_t_chan,jesDown,17,20.666290577928024,0.1096241186476788
controlregion,single_top_t_chan,jesDown,18,18.459623000818667,0.09791887394607861
controlregion,single_top_t_chan,jesDown,19,15.950599529730383,0.08460978561949953
controlregion,single_top_t_chan,jesDown,20,0.0,0.0
controlregion,single_top_t_chan,jesUp,0,1.7133500658805831,0.009088447208213618
controlregion,single_top_t_chan,jesUp,1,10.0838342886656,0.05348959177341823
controlregion,single_top_t_chan,jesUp,2,25.39789509422982,0.1347228644982254
controlregion,single_top_t_chan,jesUp,3,44.557710691631264,0.23635590262846562
controlregion,single_top_t_chan,jesUp,4,60.57196409377826,0.3213033395374344
controlregion,single_top_t_chan,jesUp,5,69.73812172177098,0.36992512522100446
controlregion,single_top_t_chan,jesUp,6,71.72200074542218,0.38044859040946233
controlregion,single_top_t_chan,jesUp,7,71.27111914913782,0.3780568937757219
controlregion,single_top_t_chan,jesUp,8,65.71201429142002,0.34856868116207523
controlregion,single_top_t_chan,jesUp,9,60.9167559027016,0.3231322840220594
controlregion,single_top_t_chan,jesUp,10,52.89636797820797,0.2805882215489356
controlregion,single_top_t_chan,jesUp,11,46.74316031126842,0.24794859690024273
controlregion,single_top_t_chan,jesUp,12,41.62432807109887,0.22079580570542495
controlregion,single_top_t_chan,jesUp,13,37.30647372550508,0.19789179323642841
controlregion,single_top_t_chan,jesUp,14,32.129292102286975,0.17042948835959718
controlregion,single_top_t_chan,jesUp,15,28.103184671936006,0.14907304430066795
controlregion,single_top_t_chan,jesUp,16,25.657815073264338,0.1361016072635581
controlregion,single_top_t_chan,jesUp,17,22.257637388343426,0.11806540088440973
controlregion,single_top_t_chan,jesUp,18,19.22346946981806,0.10197068941970945
controlregion,single_top_t_chan,jesUp,19,16.677314573153417,0.08846463784093998
controlregion,single_top_t_chan,jesUp,20,0.0,0.0
controlregion,single_top_t_chan,nominal,0,1.9785745342831502,0.010495327581002105
controlregion,single_top_t_chan,nominal,1,11.224299502796638,0.059539177376408715
controlregion,single_top_t_chan,nominal,2,27.227943926207534,0.14443033907046596
controlregion,single_top_t_chan,nominal,3,47.42213495037899,0.2515502106545813
controlregion,single_top_t_chan,nominal,4,62.93776635192916,0.33385271246270765
controlregion,single_top_t_chan,nominal,5,71.15972487240875,0.3774660040191507
controlregion,single_top_t_chan,nominal,6,73.6050944710804,0.39043744105626055
controlregion,single_top_t_chan,nominal,7,70.70353878675633,0.3750461697779545
controlregion,single_top_t_chan,nominal,8,66.18941833454463,0.35110106583309453
controlregion,single_top_t_chan,nominal,9,59.51637070953605,0.3157039556537362
controlregion,single_top_t_chan,nominal,10,52.50383576497217,0.2785060385972086
controlregion,single_top_t_chan,nominal,11,46.1013170977342,0.2445439463980946
controlregion,single_top_t_chan,nominal,12,41.29544973027969,0.21905127404316724
controlregion,single_top_t_chan,nominal,13,36.30922972431143,0.1926019230347437
controlregion,single_top_t_chan,nominal,14,31.354836654551477,0.16632139767105478
controlregion,single_top_t_chan,nominal,15,27.981181416470825,0.14842587932918525
controlregion,single_top_t_chan,nominal,16,24.87275064679274,0.1319372413601042
controlregion,single_top_t_chan,nominal,17,21.212652982837312,0.11252229221562308
controlregion,single_top_t_chan,nominal,18,19.122684171825085,0.10143607487804983
