channel,process,systematic,bin,sum_w,sum_ww
controlregion,single_top_tW,nominal,13,0.5064063241560708,0.036635337877894775
controlregion,single_top_tW,nominal,14,0.2170312817811732,0.015700859090526334
controlregion,single_top_tW,nominal,15,0.2893750423748976,0.020934478787368444
controlregion,single_top_tW,nominal,16,0.5064063241560708,0.036635337877894775
controlregion,single_top_tW,nominal,17,0.2170312817811732,0.015700859090526334
controlregion,single_top_tW,nominal,18,0.0723437605937244,0.005233619696842111
controlregion,single_top_tW,nominal,19,0.0,0.0
controlregion,single_top_t_chan,jesDown,0,49.00106321164003,0.2691519107578906
controlregion,single_top_t_chan,jesDown,1,31.797685789954503,0.17465759571543868
controlregion,single_top_t_chan,jesDown,2,21.65801953183462,0.11896267056589648
controlregion,single_top_t_chan,jesDown,3,14.215306758404259,0.07808150936458029
controlregion,single_top_t_chan,jesDown,4,9.804606863891655,0.05385451863051616
controlregion,single_top_t_chan,jesDown,5,6.849492862337756,0.037622736544679916
controlregion,single_top_t_chan,jesDown,6,4.591961534013122,0.025222620490258547
controlregion,single_top_t_chan,jesDown,7,3.24623118014564,0.01783082381548182
controlregion,single_top_t_chan,jesDown,8,2.510199068234446,0.01378796359335904
controlregion,single_top_t_chan,jesDown,9,1.713746409823079,0.009413226785838119
controlregion,single_top_t_chan,jesDown,10,1.0491203983211799,0.005762584346458592
controlregion,single_top_t_chan,jesDown,11,0.8898298666389065,0.004887636984954408
controlregion,single_top_t_chan,jesDown,12,0.6920898962747051,0.003801495432742317
controlregion,single_top_t_chan,jesDown,13,0.5108282567741871,0.002805865676547901
controlregion,single_top_t_chan,jesDown,14,0.362523279001036,0.0019912595123888327
controlregion,single_top_t_chan,jesDown,15,0.2471749629552518,0.0013576769402651133
controlregion,single_top_t_chan,jesDown,16,0.181261639500518,0.0009956297561944164
controlregion,single_top_t_chan,jesDown,17,0.15379775472771223,0.000844776762831626
controlregion,single_top_t_chan,jesDown,18,0.1373194238640288,0.0007542649668139517
controlregion,single_top_t_chan,jesDown,19,0.0,0.0
controlregion,single_top_t_chan,jesUp,0,51.082825677418704,0.28058656765479006
controlregion,single_top_t_chan,jesUp,1,34.582523705917005,0.18995408924242563
controlregion,single_top_t_chan,jesUp,2,22.729111037974043,0.1248459373070453
controlregion,single_top_t_chan,jesUp,3,15.64892154354472,0.08595603561811795
controlregion,single_top_t_chan,jesUp,4,10.419797882802504,0.05723362568184266
controlregion,single_top_t_chan,jesUp,5,7.420741665612115,0.040760478806625956
controlregion,single_top_t_chan,jesUp,6,5.036876467332576,0.027666438982735752
controlregion,single_top_t_chan,jesUp,7,3.5373483587373813,0.0194298655451274
controlregion,single_top_t_chan,jesUp,8,2.6859679307804027,0.014753422750880898
controlregion,single_top_t_chan,jesUp,9,1.895008049323597,0.010408856542032534
controlregion,single_top_t_chan,jesUp,10,1.2413675917308202,0.006818555299998124
controlregion,single_top_t_chan,jesUp,11,0.8898298666389065,0.004887636984954408
controlregion,single_top_t_chan,jesUp,12,0.7744815505931223,0.004254054412830688
controlregion,single_top_t_chan,jesUp,13,0.5163210337287482,0.002836036275220459
controlregion,single_top_t_chan,jesUp,14,0.44491493331945325,0.002443818492477204
controlregion,single_top_t_chan,jesUp,15,0.2691460707734964,0.0014783593349553454
controlregion,single_top_t_chan,jesUp,16,0.2032327473187626,0.0011163121508846487
controlregion,single_top_t_chan,jesUp,17,0.15379775472771223,0.000844776762831626
controlregion,single_top_t_chan,jesUp,18,0.1373194238640288,0.0007542649668139517
controlregion,single_top_t_chan,jesUp,19,0.0,0.0
controlregion,single_top_t_chan,nominal,0,50.10511137950682,0.27521620109107475
controlregion,single_top_t_chan,nominal,1,33.198343913367594,0.182351098376941
controlregion,single_top_t_chan,nominal,2,22.179833342517927,0.1218288774397895
controlregion,single_top_t_chan,nominal,3,15.022744970724748,0.08251658736944632
controlregion,single_top_t_chan,nominal,4,10.16713014289269,0.05584577814290499
controlregion,single_top_t_chan,nominal,5,6.9868122862017845,0.03837700151149387
controlregion,single_top_t_chan,nominal,6,4.899557043468547,0.0269121740159218
controlregion,single_top_t_chan,nominal,7,3.3560867192368633,0.01843423578893298
controlregion,single_top_t_chan,nominal,8,2.6365329381893523,0.014481887362827874
controlregion,single_top_t_chan,nominal,9,1.7576886254595683,0.009654591575218583
controlregion,single_top_t_chan,nominal,10,1.1479903835032805,0.006305655122564637
controlregion,single_top_t_chan,nominal,11,0.8843370896843453,0.00485746638628185
controlregion,single_top_t_chan,nominal,12,0.6920898962747051,0.003801495432742317
controlregion,single_top_t_chan,nominal,13,0.5327993645924316,0.0029265480712381328
controlregion,single_top_t_chan,nominal,14,0.40097271768296405,0.0022024537030967393
controlregion,single_top_t_chan,nominal,15,0.2691460707734964,0.0014783593349553454
controlregion,single_top_t_chan,nominal,16,0.18675441645507915,0.0010258003548669745
controlregion,single_top_t_chan,nominal,17,0.15379775472771223,0.000844776762831626
controlregion,single_top_t_chan,nominal,18,0.14281220081858992,0.0007844355654865098
controlregion,single_top_t_chan,nominal,19,0.0,0.0
controlregion,tprime,jesDown,0,0.11884928471917544,1.1219342715059276e-05
controlregion,tprime,jesDown,1,0.15198359682118542,1.4347213479940773e-05
controlregion,tprime,jesDown,2,0.15670358430010423,1.4792779115963778e-05
controlregion,tprime,jesDown,3,0.1654827610108932,1.5621531198966566e-05
controlregion,tprime,jesDown,4,0.1663323587570986,1.570173301345071e-05
controlregion,tprime,jesDown,5,0.15339959306486106,1.4480883170747674e-05
controlregion,tprime,jesDown,6,0.15377719206317458,1.4516528421629515e-05
controlregion,tprime,jesDown,7,0.14367641885828833,1.3563017960540284e-05
controlregion,tprime,jesDown,8,0.13291484740635345,1.2547128310407831e-05
controlregion,tprime,jesDown,9,0.11998208171411595,1.1326278467704797e-05
controlregion,tprime,jesDown,10,0.10516132103031091,9.92720237059256e-06
controlregion,tprime,jesDown,11,0.08741416810957621,8.25187557914606e-06
controlregion,tprime,jesDown,12,0.068534218193901,6.469613035054038e-06
controlregion,tprime,jesDown,13,0.055695852251241865,5.257674505071463e-06
controlregion,tprime,jesDown,14,0.043046285807739476,4.063558600529809e-06
controlregion,tprime,jesDown,15,0.031340716860020844,2.9585558231927558e-06
controlregion,tprime,jesDown,16,0.023977536392907516,2.263473430996867e-06
controlregion,tprime,jesDown,17,0.019351948663567087,1.826819107694322e-06
controlregion,tprime,jesDown,18,0.012366367194767261,1.167381966380274e-06
controlregion,tprime,jesDown,19,0.0,0.0
